"filename", "language", "JavaScript", "PostCSS", "Markdown", "JSON", "XML", "HTML", "comment", "blank", "total"
"d:\coding\MERN\mern-photo-artist-app\client\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"d:\coding\MERN\mern-photo-artist-app\client\package-lock.json", "JSON", 0, 0, 0, 28626, 0, 0, 0, 1, 28627
"d:\coding\MERN\mern-photo-artist-app\client\package.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 1, 47
"d:\coding\MERN\mern-photo-artist-app\client\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\coding\MERN\mern-photo-artist-app\client\public\D.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\coding\MERN\mern-photo-artist-app\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 1, 25
"d:\coding\MERN\mern-photo-artist-app\client\src\App.js", "JavaScript", 101, 0, 0, 0, 0, 0, 11, 10, 122
"d:\coding\MERN\mern-photo-artist-app\client\src\assets\data.js", "JavaScript", 121, 0, 0, 0, 0, 0, 15, 15, 151
"d:\coding\MERN\mern-photo-artist-app\client\src\assets\images\writepostimage.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\coding\MERN\mern-photo-artist-app\client\src\assets\images\writestoryimage.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\coding\MERN\mern-photo-artist-app\client\src\components\ImageModal\index.js", "JavaScript", 107, 0, 0, 0, 0, 0, 2, 6, 115
"d:\coding\MERN\mern-photo-artist-app\client\src\components\NavBar\components\NavBarHamBurger.js", "JavaScript", 31, 0, 0, 0, 0, 0, 1, 3, 35
"d:\coding\MERN\mern-photo-artist-app\client\src\components\NavBar\components\NavBarLinks.js", "JavaScript", 45, 0, 0, 0, 0, 0, 1, 4, 50
"d:\coding\MERN\mern-photo-artist-app\client\src\components\NavBar\components\NavBarLogo.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 3, 18
"d:\coding\MERN\mern-photo-artist-app\client\src\components\NavBar\components\NavBarSocialIcons.js", "JavaScript", 28, 0, 0, 0, 0, 0, 1, 4, 33
"d:\coding\MERN\mern-photo-artist-app\client\src\components\NavBar\index.js", "JavaScript", 32, 0, 0, 0, 0, 0, 1, 5, 38
"d:\coding\MERN\mern-photo-artist-app\client\src\components\Pagination\index.js", "JavaScript", 98, 0, 0, 0, 0, 0, 4, 9, 111
"d:\coding\MERN\mern-photo-artist-app\client\src\components\elements\BasicImage\index.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\coding\MERN\mern-photo-artist-app\client\src\components\elements\Carousel\index.js", "JavaScript", 127, 0, 0, 0, 0, 0, 1, 10, 138
"d:\coding\MERN\mern-photo-artist-app\client\src\components\elements\DeleteModal\index.js", "JavaScript", 71, 0, 0, 0, 0, 0, 2, 3, 76
"d:\coding\MERN\mern-photo-artist-app\client\src\components\elements\ErrorMsg\index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 3, 21
"d:\coding\MERN\mern-photo-artist-app\client\src\components\elements\ImageGrid\index.js", "JavaScript", 81, 0, 0, 0, 0, 0, 1, 5, 87
"d:\coding\MERN\mern-photo-artist-app\client\src\components\elements\PageHeadline\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 3, 8
"d:\coding\MERN\mern-photo-artist-app\client\src\components\elements\RandomImage\index.js", "JavaScript", 41, 0, 0, 0, 0, 0, 2, 6, 49
"d:\coding\MERN\mern-photo-artist-app\client\src\components\elements\SubText\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 3, 8
"d:\coding\MERN\mern-photo-artist-app\client\src\components\elements\UniversalButton\index.js", "JavaScript", 82, 0, 0, 0, 0, 0, 1, 5, 88
"d:\coding\MERN\mern-photo-artist-app\client\src\index.css", "PostCSS", 0, 166, 0, 0, 0, 0, 2, 45, 213
"d:\coding\MERN\mern-photo-artist-app\client\src\index.js", "JavaScript", 19, 0, 0, 0, 0, 0, 1, 4, 24
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\Contact\index.js", "JavaScript", 108, 0, 0, 0, 0, 0, 4, 10, 122
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\Gallery\index.js", "JavaScript", 201, 0, 0, 0, 0, 0, 12, 18, 231
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\Home\components\HomeBlogCards.js", "JavaScript", 83, 0, 0, 0, 0, 0, 9, 10, 102
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\Home\index.js", "JavaScript", 64, 0, 0, 0, 0, 0, 2, 10, 76
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\Impressum\components\ImpressumSocialIcons.js", "JavaScript", 27, 0, 0, 0, 0, 0, 1, 4, 32
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\Impressum\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 1, 4, 52
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\Login\index.js", "JavaScript", 77, 0, 0, 0, 0, 0, 2, 9, 88
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\SinglePostUpdate\index.js", "JavaScript", 192, 0, 0, 0, 0, 0, 7, 17, 216
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\SinglePost\index.js", "JavaScript", 70, 0, 0, 0, 0, 0, 2, 8, 80
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\SingleStoryUpdate\index.js", "JavaScript", 187, 0, 0, 0, 0, 0, 7, 18, 212
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\SingleStory\index.js", "JavaScript", 252, 0, 0, 0, 0, 0, 11, 21, 284
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\Stories\components\StoriesGrid.js", "JavaScript", 69, 0, 0, 0, 0, 0, 5, 9, 83
"d:\coding\MERN\mern-photo-artist-app\client\src\pages\Stories\components\StoriesShowCase.js", "JavaScript", 43, 0, 0, 0, 0, 0, 9, 8, 60
